,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
18,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-16-8-pm/broadway/5484352,2021-11-16T20:00:00,0.623,0.411,Brooks Atkinson Theatre,"New York, NY 10036",63.0,786.0,337.0,162.0,1642.0,
19,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-16-8-pm/broadway/5529718,2021-11-16T20:00:00,0.603,0.379,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",66.0,717.0,173.0,164.0,1184.0,
20,Perfect Crime - New York,https://seatgeek.com/perfect-crime-new-york-tickets/the-theater-center-1-2021-11-16-8-pm/broadway/5520485,2021-11-16T20:00:00,0.58,0.353,The Theater Center,"New York, NY 10019",3.0,101.0,68.0,68.0,130.0,
21,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-16-8-pm/broadway/5501170,2021-11-16T20:00:00,0.548,0.32,Bernard B. Jacobs Theatre,"New York, NY 10036",48.0,912.0,601.0,601.0,1314.0,
22,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-17-1-pm/broadway/5401816,2021-11-17T13:00:00,0.615,0.429,Gerald Schoenfeld Theatre,"New York, NY 10036",71.0,492.0,120.0,120.0,987.0,
23,Jagged Little Pill - New York,https://seatgeek.com/jagged-little-pill-new-york-tickets/broadhurst-theatre-2021-11-17-2-pm/broadway/5351771,2021-11-17T14:00:00,0.578,0.38,Broadhurst Theatre,"New York, NY 10036",102.0,520.0,119.0,119.0,1347.0,
24,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-17-2-pm/broadway/5529660,2021-11-17T14:00:00,0.563,0.338,Circle In The Square Theatre,"New York, NY 10019",1.0,239.0,,233.0,244.0,
25,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-17-2-pm/broadway/5485139,2021-11-17T14:00:00,0.563,0.342,Studio 54,"New York, NY 10019",32.0,721.0,166.0,138.0,1314.0,
26,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-17-2-pm/broadway/5383416,2021-11-17T14:00:00,0.822,0.676,Walter Kerr Theatre,"New York, NY 10036",29.0,118.0,78.0,78.0,163.0,
27,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-17-2-pm/broadway/5406875,2021-11-17T14:00:00,0.578,0.373,Lunt-Fontanne Theatre,"New York, NY 10036",142.0,548.0,125.0,125.0,1299.0,
